Duration,Pulse,Maxpulse,Calories,Zeros,Zeros+1
60,110,130,409.1,0,1
60,117,145,479.0,0,1
60,103,135,340.0,0,1
45,109,175,282.4,0,1
45,117,148,406.0,0,1
60,102,127,300.0,0,1
60,110,136,374.0,0,1
45,104,134,253.3,0,1
30,109,133,195.1,0,1
60,98,124,269.0,0,1
60,103,147,329.3,0,1
60,100,120,250.7,0,1
60,106,128,345.3,0,1
60,104,132,379.3,0,1
60,98,123,275.0,0,1
60,98,120,215.2,0,1
60,100,120,300.0,0,1
45,90,112,375.79024390243904,0,1
60,103,123,323.0,0,1
45,97,125,243.0,0,1
60,108,131,364.2,0,1
45,100,119,282.0,0,1
60,130,101,300.0,0,1
45,105,132,246.0,0,1
60,102,126,334.5,0,1
60,100,120,250.0,0,1
60,92,118,241.0,0,1
60,103,132,375.79024390243904,0,1
60,100,132,280.0,0,1
60,102,129,380.3,0,1
60,92,115,243.0,0,1
45,90,112,180.1,0,1
60,101,124,299.0,0,1
60,93,113,223.0,0,1
60,107,136,361.0,0,1
60,114,140,415.0,0,1
60,102,127,300.0,0,1
60,100,120,300.0,0,1
60,100,120,300.0,0,1
45,104,129,266.0,0,1
45,90,112,180.1,0,1
60,98,126,286.0,0,1
60,100,122,329.4,0,1
60,111,138,400.0,0,1
60,111,131,397.0,0,1
60,99,119,273.0,0,1
60,109,153,387.6,0,1
45,111,136,300.0,0,1
45,108,129,298.0,0,1
60,111,139,397.6,0,1
60,107,136,380.2,0,1
80,123,146,643.1,0,1
60,106,130,263.0,0,1
60,118,151,486.0,0,1
30,136,175,238.0,0,1
60,121,146,450.7,0,1
60,118,121,413.0,0,1
45,115,144,305.0,0,1
20,153,172,226.4,0,1
45,123,152,321.0,0,1
210,108,160,1376.0,0,1
160,110,137,1034.4,0,1
160,109,135,853.0,0,1
45,118,141,341.0,0,1
20,110,130,131.4,0,1
180,90,130,800.4,0,1
150,105,135,873.4,0,1
150,107,130,816.0,0,1
20,106,136,110.4,0,1
300,108,143,1500.2,0,1
150,97,129,1115.0,0,1
60,109,153,387.6,0,1
90,100,127,700.0,0,1
150,97,127,953.2,0,1
45,114,146,304.0,0,1
90,98,125,563.2,0,1
45,105,134,251.0,0,1
45,110,141,300.0,0,1
120,100,130,500.4,0,1
270,100,131,1729.0,0,1
30,159,182,319.2,0,1
45,149,169,344.0,0,1
30,103,139,151.1,0,1
120,100,130,500.0,0,1
45,100,120,225.3,0,1
30,151,170,300.0,0,1
45,102,136,234.0,0,1
120,100,157,1000.1,0,1
45,129,103,242.0,0,1
20,83,107,50.3,0,1
180,101,127,600.1,0,1
45,107,137,375.79024390243904,0,1
30,90,107,105.3,0,1
15,80,100,50.5,0,1
20,150,171,127.4,0,1
20,151,168,229.4,0,1
30,95,128,128.2,0,1
25,152,168,244.2,0,1
30,109,131,188.2,0,1
90,93,124,604.1,0,1
20,95,112,77.7,0,1
90,90,110,500.0,0,1
90,90,100,500.0,0,1
90,90,100,500.4,0,1
30,92,108,92.7,0,1
30,93,128,124.0,0,1
180,90,120,800.3,0,1
30,90,120,86.2,0,1
90,90,120,500.3,0,1
210,137,184,1860.4,0,1
60,102,124,325.2,0,1
45,107,124,275.0,0,1
15,124,139,124.2,0,1
45,100,120,225.3,0,1
60,108,131,367.6,0,1
60,108,151,351.7,0,1
60,116,141,443.0,0,1
60,97,122,277.4,0,1
60,105,125,375.79024390243904,0,1
60,103,124,332.7,0,1
30,112,137,193.9,0,1
45,100,120,100.7,0,1
60,119,169,336.7,0,1
60,107,127,344.9,0,1
60,111,151,368.5,0,1
60,98,122,271.0,0,1
60,97,124,275.3,0,1
60,109,127,382.0,0,1
90,99,125,466.4,0,1
60,114,151,384.0,0,1
60,104,134,342.5,0,1
60,107,138,357.5,0,1
60,103,133,335.0,0,1
60,106,132,327.5,0,1
60,103,136,339.0,0,1
20,136,156,189.0,0,1
45,117,143,317.7,0,1
45,115,137,318.0,0,1
45,113,138,308.0,0,1
20,141,162,222.4,0,1
60,108,135,390.0,0,1
60,97,127,375.79024390243904,0,1
45,100,120,250.4,0,1
45,122,149,335.4,0,1
60,136,170,470.2,0,1
45,106,126,270.8,0,1
60,107,136,400.0,0,1
60,112,146,361.9,0,1
30,103,127,185.0,0,1
60,110,150,409.4,0,1
60,106,134,343.0,0,1
60,109,129,353.2,0,1
60,109,138,374.0,0,1
30,150,167,275.8,0,1
60,105,128,328.0,0,1
60,111,151,368.5,0,1
60,97,131,270.4,0,1
60,100,120,270.4,0,1
60,114,150,382.8,0,1
30,80,120,240.9,0,1
30,85,120,250.4,0,1
45,90,130,260.4,0,1
45,95,130,270.0,0,1
45,100,140,280.9,0,1
60,105,140,290.8,0,1
60,110,145,300.0,0,1
60,115,145,310.2,0,1
75,120,150,320.4,0,1
75,125,150,330.4,0,1
